IndicatorCode,IndicatorName,SpatialDim,TimeDim,Dim1,NumericValue,Value
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",JAM,2004,SEX_MLE,,2
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",ZAF,2004,SEX_FMLE,285.0,285
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",BGD,2004,SEX_BTSX,84.0,84
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",PAK,2004,SEX_FMLE,280.0,280
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",AND,2004,SEX_FMLE,267.0,267
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MEX,2004,SEX_MLE,,2
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",BRN,2004,SEX_BTSX,102.0,102
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",VUT,2004,SEX_BTSX,128.0,128
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",COL,2004,SEX_FMLE,167.0,167
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",TUV,2004,SEX_BTSX,189.0,189
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",ARE,2004,SEX_FMLE,133.0,133
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",CUB,2004,SEX_BTSX,108.0,108
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",USA,2004,SEX_FMLE,329.0,329
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",HND,2004,SEX_FMLE,276.0,276
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MCO,2004,SEX_MLE,,2
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",GUY,2004,SEX_BTSX,190.0,190
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",BTN,2004,SEX_FMLE,166.0,166
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MDA,2004,SEX_FMLE,281.0,281
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",GBR,2004,SEX_BTSX,182.0,182
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",BEN,2004,SEX_FMLE,385.0,385
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",PRK,2004,SEX_FMLE,153.0,153
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",USA,2004,SEX_MLE,,2
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",DOM,2004,SEX_FMLE,328.0,328
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",PRT,2004,SEX_MLE,,4
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",CYP,2004,SEX_BTSX,120.0,120
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MKD,2004,SEX_MLE,10.0,10
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MDV,2004,SEX_BTSX,89.0,89
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",COG,2004,SEX_BTSX,119.0,119
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",PAN,2004,SEX_FMLE,207.0,207
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",VNM,2004,SEX_BTSX,72.0,72
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",SVK,2004,SEX_FMLE,247.0,247
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",BWA,2004,SEX_BTSX,126.0,126
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",BRN,2004,SEX_FMLE,226.0,226
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",GRD,2004,SEX_FMLE,409.0,409
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",PHL,2004,SEX_FMLE,290.0,290
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",KOR,2004,SEX_MLE,,1
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MMR,2004,SEX_FMLE,177.0,177
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",AUS,2004,SEX_BTSX,171.0,171
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",SMR,2004,SEX_BTSX,87.0,87
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",STP,2004,SEX_BTSX,95.0,95
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MUS,2004,SEX_MLE,,1
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",IRQ,2004,SEX_BTSX,192.0,192
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",CZE,2004,SEX_BTSX,141.0,141
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",STP,2004,SEX_FMLE,174.0,174
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MDV,2004,SEX_MLE,,1
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",DJI,2004,SEX_FMLE,169.0,169
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",NZL,2004,SEX_FMLE,387.0,387
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",UZB,2004,SEX_FMLE,148.0,148
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",LBR,2004,SEX_FMLE,298.0,298
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",SUR,2004,SEX_FMLE,201.0,201
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",COM,2004,SEX_BTSX,73.0,73
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MRT,2004,SEX_BTSX,167.0,167
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",CZE,2004,SEX_FMLE,263.0,263
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",SUR,2004,SEX_BTSX,110.0,110
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",KAZ,2004,SEX_BTSX,165.0,165
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",TKM,2004,SEX_FMLE,135.0,135
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",PAN,2004,SEX_BTSX,104.0,104
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",LTU,2004,SEX_BTSX,154.0,154
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",VUT,2004,SEX_FMLE,263.0,263
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",ZWE,2004,SEX_BTSX,80.0,80
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",ATG,2004,SEX_BTSX,283.0,283
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",NZL,2004,SEX_MLE,,1
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",NLD,2004,SEX_BTSX,195.0,195
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",ISL,2004,SEX_MLE,,4
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",HUN,2004,SEX_FMLE,302.0,302
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",COK,2004,SEX_BTSX,63.0,63
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",LAO,2004,SEX_FMLE,165.0,165
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",SDN,2004,SEX_FMLE,347.0,347
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",YEM,2004,SEX_BTSX,184.0,184
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",PER,2004,SEX_FMLE,255.0,255
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",RWA,2004,SEX_BTSX,49.0,49
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MDG,2004,SEX_BTSX,86.0,86
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MOZ,2004,SEX_BTSX,17.0,17
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",GIN,2004,SEX_BTSX,102.0,102
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",DNK,2004,SEX_MLE,,4
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MRT,2004,SEX_FMLE,312.0,312
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",CAF,2004,SEX_BTSX,104.0,104
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",BFA,2004,SEX_BTSX,248.0,248
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",LBN,2004,SEX_FMLE,257.0,257
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",TON,2004,SEX_MLE,,3
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",FJI,2004,SEX_FMLE,273.0,273
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",LVA,2004,SEX_BTSX,169.0,169
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",LBY,2004,SEX_BTSX,98.0,98
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",JOR,2004,SEX_FMLE,393.0,393
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",CMR,2004,SEX_BTSX,192.0,192
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",VCT,2004,SEX_BTSX,199.0,199
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",SLV,2004,SEX_BTSX,54.0,54
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",ETH,2004,SEX_BTSX,103.0,103
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",DZA,2004,SEX_BTSX,109.0,109
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",KHM,2004,SEX_FMLE,342.0,342
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",GIN,2004,SEX_FMLE,195.0,195
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MHL,2004,SEX_BTSX,189.0,189
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",KWT,2004,SEX_BTSX,63.0,63
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",BHR,2004,SEX_FMLE,292.0,292
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",TUV,2004,SEX_FMLE,375.0,375
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",JOR,2004,SEX_MLE,,1
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",HTI,2004,SEX_MLE,,2
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",HTI,2004,SEX_FMLE,29.0,29
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",KOR,2004,SEX_FMLE,100.0,100
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",IRL,2004,SEX_BTSX,182.0,182
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",TJK,2004,SEX_BTSX,74.0,74
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",FIN,2004,SEX_MLE,,1
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",ZMB,2004,SEX_BTSX,64.0,64
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",ESP,2004,SEX_MLE,,2
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",IDN,2004,SEX_FMLE,327.0,327
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",PNG,2004,SEX_BTSX,65.0,65
